,dtype,missing_count,missing_rate,unique_count,unique_rate
de48_additional_data,float64,100003,1.0,1,9.99970000899973e-06
de54_additional_amounts,float64,100003,1.0,1,9.99970000899973e-06
de56_original_data,float64,100003,1.0,1,9.99970000899973e-06
de103_account_id_2,float64,100003,1.0,1,9.99970000899973e-06
de44_additional_response_data,object,96736,0.9673309800705979,11,0.00010999670009899703
de38_authorization_code,object,3267,0.03266901992940212,96736,0.9673309800705979
de100_receiving_institution_id,float64,1050,0.010499685009449717,2,1.999940001799946e-05
client_segment,object,1046,0.010459686209413718,5,4.999850004499865e-05
de63_network_specific,object,1045,0.010449686509404718,2,1.999940001799946e-05
card_brand,object,1042,0.010419687409377718,3,2.999910002699919e-05
de23_card_seq_number,float64,1038,0.01037968860934172,4,3.999880003599892e-05
de102_account_id_1,object,1035,0.010349689509314721,4001,0.04000879973600792
de35_track2_data_masked,object,1029,0.010289691309260721,3993,0.03992880213593592
de41_terminal_id,object,1025,0.010249692509224723,995,0.00994970150895473
de61_pos_extended_data,float64,1025,0.010249692509224723,5,4.999850004499865e-05
de58_authorizing_agent_id,float64,1012,0.010119696409107726,2,1.999940001799946e-05
day_of_week,object,1005,0.01004969850904473,8,7.999760007199784e-05
de42_card_acceptor_id,object,1003,0.01002969910902673,501,0.005009849704508865
de9_conversion_rate_billing,float64,1001,0.01000969970900873,10798,0.10797676069717908
response_description,object,988,0.009879703608891734,13,0.0001299961001169965
de15_settlement_date,float64,982,0.009819705408837734,182,0.0018199454016379509
distance_from_home_km,float64,978,0.009779706608801736,10684,0.10683679489615311
de123_pos_data_code,object,954,0.009539713808585742,9,8.999730008099757e-05
transaction_id,object,0,0.0,100003,1.0
de11_stan,int64,0,0.0,100003,1.0
de37_retrieval_reference_number,object,0,0.0,100003,1.0
de7_transmission_datetime,int64,0,0.0,99643,0.99640010799676
de6_amount_cardholder_billing,int64,0,0.0,89499,0.8949631511054669
amount_local,float64,0,0.0,89499,0.8949631511054669
de4_amount_transaction,int64,0,0.0,86906,0.8690339289821305
amount_tx_currency,float64,0,0.0,86906,0.8690339289821305
amount_usd,float64,0,0.0,56889,0.5688729338119857
de12_local_time,int64,0,0.0,56346,0.5634430967070988
client_id,object,0,0.0,4000,0.03999880003599892
pan_hash,object,0,0.0,4000,0.03999880003599892
client_baseline_amount,float64,0,0.0,3948,0.039478815635530934
pan_masked,object,0,0.0,3735,0.037348879533613995
de43_card_acceptor_name_location,object,0,0.0,1708,0.01707948761537154
de13_local_date,int64,0,0.0,181,0.0018099457016289512
de14_expiration_date,int64,0,0.0,71,0.0007099787006389809
de18_merchant_category_code,int64,0,0.0,26,0.000259992200233993
hour_local,int64,0,0.0,24,0.00023999280021599353
de39_response_code,int64,0,0.0,12,0.00011999640010799676
de19_acquirer_country_code,int64,0,0.0,8,7.999760007199784e-05
client_home_city,object,0,0.0,8,7.999760007199784e-05
de22_pos_entry_mode,int64,0,0.0,7,6.99979000629981e-05
de2_pan,float64,0,0.0,6,5.999820005399838e-05
de49_currency_code_transaction,int64,0,0.0,6,5.999820005399838e-05
currency_tx_alpha,object,0,0.0,6,5.999820005399838e-05
de3_processing_code,int64,0,0.0,5,4.999850004499865e-05
channel,object,0,0.0,4,3.999880003599892e-05
de25_pos_condition_code,int64,0,0.0,4,3.999880003599892e-05
de60_pos_terminal_type,object,0,0.0,4,3.999880003599892e-05
de52_pin_data_present,object,0,0.0,2,1.999940001799946e-05
de55_emv_data_present,object,0,0.0,2,1.999940001799946e-05
is_international,bool,0,0.0,2,1.999940001799946e-05
approved,bool,0,0.0,2,1.999940001799946e-05
is_fraud,int32,0,0.0,2,1.999940001799946e-05
bank_code,object,0,0.0,1,9.99970000899973e-06
bank_name,object,0,0.0,1,9.99970000899973e-06
bank_country,object,0,0.0,1,9.99970000899973e-06
bank_tier,object,0,0.0,1,9.99970000899973e-06
mti,int64,0,0.0,1,9.99970000899973e-06
de32_acquiring_institution_id,int64,0,0.0,1,9.99970000899973e-06
de50_currency_code_settlement,int64,0,0.0,1,9.99970000899973e-06
de51_currency_code_billing,int64,0,0.0,1,9.99970000899973e-06
