model_name,custom_metric_key,threshold_name,auc_roc,auc_pr,f1,precision,recall,specificity,false_positive_rate,false_positive_ratio,true_positives,false_positives,true_negatives,false_negatives,threshold,predicted_positives,actual_positives,segment,rows,best_iteration,best_score,is_selected_model
baseline,traditional_metrics,recall_90,0.8922022301955819,0.6445434098419518,0.16470003726245186,0.09063568010936432,0.9008152173913043,0.5694498381877022,0.4305501618122977,0.9093643198906357,663,6652,8798,73,0.04247158265844502,7315,736,all_test,16186,,,False
custom_mobile_app_alert_quality,mobile_app_alert_quality,recall_90,0.8949713310820318,0.7751282553741292,0.15572519083969466,0.08522946394138065,0.9008152173913043,0.5394174757281553,0.46058252427184465,0.9147705360586194,663,7116,8334,73,0.0052146334345946725,7779,736,all_test,16186,159.0,"{""valid"": {""mobile_app_alert_quality"": 0.7350060818191636}}",True
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,recall_90,0.8960309378077951,0.7775976757583862,0.15325936199722606,0.0837544214249621,0.9008152173913043,0.5305501618122977,0.46944983818770225,0.9162455785750379,663,7253,8197,73,0.0016769593186461175,7916,736,all_test,16186,240.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}",False
final_tuned_custom,mobile_app_alert_quality,recall_90,0.8914457577036724,0.77636613744439,0.14000633512828634,0.07590154550658271,0.9008152173913043,0.47754045307443366,0.5224595469255664,0.9240984544934173,663,8072,7378,73,0.007940977894293655,8735,736,all_test,16186,,,False
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,recall_90,0.8642829692556635,0.4994423100970461,0.0869873537406926,0.04547139503274435,1.0,0.0,1.0,0.9545286049672557,736,15450,0,0,0.04778519683411139,16186,736,all_test,16186,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
baseline,traditional_metrics,threshold_0_50,0.8922022301955819,0.6445434098419518,0.0,0.0,0.0,1.0,0.0,0.0,0,0,15450,736,0.5,0,736,all_test,16186,,,False
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,threshold_0_50,0.8642829692556635,0.4994423100970461,0.0,0.0,0.0,1.0,0.0,0.0,0,0,15450,736,0.5,0,736,all_test,16186,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,threshold_0_50,0.8960309378077951,0.7775976757583862,0.7901418969380134,0.8772802653399668,0.71875,0.995210355987055,0.004789644012944984,0.12271973466003316,529,74,15376,207,0.5,603,736,all_test,16186,240.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}",False
final_tuned_custom,mobile_app_alert_quality,threshold_0_50,0.8914457577036724,0.77636613744439,0.7781818181818182,0.837245696400626,0.7269021739130435,0.9932686084142395,0.006731391585760518,0.162754303599374,535,104,15346,201,0.5,639,736,all_test,16186,,,False
custom_mobile_app_alert_quality,mobile_app_alert_quality,threshold_0_50,0.8949713310820318,0.7751282553741292,0.777292576419214,0.8369905956112853,0.7255434782608695,0.9932686084142395,0.006731391585760518,0.16300940438871472,534,104,15346,202,0.5,638,736,all_test,16186,159.0,"{""valid"": {""mobile_app_alert_quality"": 0.7350060818191636}}",True
baseline,traditional_metrics,recall_90,0.9402344450421374,0.7709929620540877,0.24932515337423314,0.14342179559570864,0.9530956848030019,0.557983682983683,0.442016317016317,0.8565782044042913,508,3034,3830,25,0.04247158265844502,3542,533,mobile_app,7397,,,False
custom_mobile_app_alert_quality,mobile_app_alert_quality,recall_90,0.9435103670563332,0.8815178538715374,0.23006833712984054,0.13093077521389682,0.9474671669793621,0.5116550116550117,0.48834498834498835,0.8690692247861032,505,3352,3512,28,0.0052146334345946725,3857,533,mobile_app,7397,159.0,"{""valid"": {""mobile_app_alert_quality"": 0.7350060818191636}}",True
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,recall_90,0.944093390974254,0.8827755570767885,0.22714062150681869,0.12893401015228426,0.9530956848030019,0.5,0.5,0.8710659898477158,508,3432,3432,25,0.0016769593186461175,3940,533,mobile_app,7397,240.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}",False
final_tuned_custom,mobile_app_alert_quality,recall_90,0.9404954801296265,0.8781195852471929,0.20968074150360452,0.11776955113373438,0.9549718574108818,0.444493006993007,0.555506993006993,0.8822304488662657,509,3813,3051,24,0.007940977894293655,4322,533,mobile_app,7397,,,False
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,recall_90,0.9141215062298552,0.6602573936466342,0.13442622950819672,0.07205623901581722,1.0,0.0,1.0,0.9279437609841827,533,6864,0,0,0.04778519683411139,7397,533,mobile_app,7397,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
baseline,traditional_metrics,threshold_0_50,0.9402344450421374,0.7709929620540877,0.0,0.0,0.0,1.0,0.0,0.0,0,0,6864,533,0.5,0,533,mobile_app,7397,,,False
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,threshold_0_50,0.9141215062298552,0.6602573936466342,0.0,0.0,0.0,1.0,0.0,0.0,0,0,6864,533,0.5,0,533,mobile_app,7397,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,threshold_0_50,0.944093390974254,0.8827755570767885,0.871031746031746,0.9242105263157895,0.8236397748592871,0.9947552447552448,0.005244755244755245,0.07578947368421053,439,36,6828,94,0.5,475,533,mobile_app,7397,240.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}",False
custom_mobile_app_alert_quality,mobile_app_alert_quality,threshold_0_50,0.9435103670563332,0.8815178538715374,0.8604878048780488,0.8963414634146342,0.8273921200750469,0.9925699300699301,0.00743006993006993,0.10365853658536585,441,51,6813,92,0.5,492,533,mobile_app,7397,159.0,"{""valid"": {""mobile_app_alert_quality"": 0.7350060818191636}}",True
final_tuned_custom,mobile_app_alert_quality,threshold_0_50,0.9404954801296265,0.8781195852471929,0.851063829787234,0.8782435129740519,0.8255159474671669,0.9911130536130536,0.008886946386946386,0.1217564870259481,440,61,6803,93,0.5,501,533,mobile_app,7397,,,False
baseline,traditional_metrics,recall_90,0.7654300906849161,0.327548889977266,0.07796780684104627,0.041081367611979856,0.7635467980295566,0.5786163522012578,0.42138364779874216,0.9589186323880201,155,3618,4968,48,0.04247158265844502,3773,203,non_mobile_app,8789,,,False
custom_mobile_app_alert_quality,mobile_app_alert_quality,recall_90,0.7683598801577548,0.4818226665330625,0.07660606060606061,0.04028556858745538,0.7783251231527094,0.5616119263918006,0.43838807360819937,0.9597144314125446,158,3764,4822,45,0.0052146334345946725,3922,203,non_mobile_app,8789,159.0,"{""valid"": {""mobile_app_alert_quality"": 0.7350060818191636}}",True
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,recall_90,0.7708171969720441,0.48510567807950145,0.0741804259392199,0.03898390342052314,0.7635467980295566,0.5549732122059166,0.4450267877940834,0.9610160965794768,155,3821,4765,48,0.0016769593186461175,3976,203,non_mobile_app,8789,240.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}",False
final_tuned_custom,mobile_app_alert_quality,recall_90,0.7631807536383549,0.4952498200005204,0.06672443674176777,0.03489689553591661,0.7586206896551724,0.5039599347775449,0.49604006522245514,0.9651031044640834,154,4259,4327,49,0.007940977894293655,4413,203,non_mobile_app,8789,,,False
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,recall_90,0.7320512026107342,0.20307283620703787,0.045151245551601424,0.023097053134600067,1.0,0.0,1.0,0.9769029468653999,203,8586,0,0,0.04778519683411139,8789,203,non_mobile_app,8789,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
baseline,traditional_metrics,threshold_0_50,0.7654300906849161,0.327548889977266,0.0,0.0,0.0,1.0,0.0,0.0,0,0,8586,203,0.5,0,203,non_mobile_app,8789,,,False
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,threshold_0_50,0.7320512026107342,0.20307283620703787,0.0,0.0,0.0,1.0,0.0,0.0,0,0,8586,203,0.5,0,203,non_mobile_app,8789,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,threshold_0_50,0.7708171969720441,0.48510567807950145,0.5438066465256798,0.703125,0.4433497536945813,0.995574190542744,0.004425809457255998,0.296875,90,38,8548,113,0.5,128,203,non_mobile_app,8789,240.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}",False
final_tuned_custom,mobile_app_alert_quality,threshold_0_50,0.7631807536383549,0.4952498200005204,0.5571847507331378,0.6884057971014492,0.46798029556650245,0.9949918471931051,0.005008152806894945,0.3115942028985507,95,43,8543,108,0.5,138,203,non_mobile_app,8789,,,False
custom_mobile_app_alert_quality,mobile_app_alert_quality,threshold_0_50,0.7683598801577548,0.4818226665330625,0.5329512893982808,0.636986301369863,0.458128078817734,0.9938271604938271,0.006172839506172839,0.363013698630137,93,53,8533,110,0.5,146,203,non_mobile_app,8789,159.0,"{""valid"": {""mobile_app_alert_quality"": 0.7350060818191636}}",True
