model_name,custom_metric_key,threshold_name,auc_roc,auc_pr,f1,precision,recall,specificity,false_positive_rate,false_positive_ratio,true_positives,false_positives,true_negatives,false_negatives,threshold,predicted_positives,actual_positives,segment,rows,best_iteration,best_score
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,threshold_0_50,0.8642829692556635,0.4994423100970461,0.0,0.0,0.0,1.0,0.0,0.0,0,0,15450,736,0.5,0,736,all_test,16186,1,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}"
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,threshold_0_50,0.9141215062298552,0.6602573936466342,0.0,0.0,0.0,1.0,0.0,0.0,0,0,6864,533,0.5,0,533,mobile_app,7397,1,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}"
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,threshold_0_50,0.7320512026107342,0.20307283620703787,0.0,0.0,0.0,1.0,0.0,0.0,0,0,8586,203,0.5,0,203,non_mobile_app,8789,1,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}"
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,recall_90,0.8642829692556635,0.4994423100970461,0.0869873537406926,0.04547139503274435,1.0,0.0,1.0,0.9545286049672557,736,15450,0,0,0.04778519683411139,16186,736,all_test,16186,1,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}"
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,recall_90,0.9141215062298552,0.6602573936466342,0.13442622950819672,0.07205623901581722,1.0,0.0,1.0,0.9279437609841827,533,6864,0,0,0.04778519683411139,7397,533,mobile_app,7397,1,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}"
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,recall_90,0.7320512026107342,0.20307283620703787,0.045151245551601424,0.023097053134600067,1.0,0.0,1.0,0.9769029468653999,203,8586,0,0,0.04778519683411139,8789,203,non_mobile_app,8789,1,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}"
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,threshold_0_50,0.8960309378077951,0.7775976757583862,0.7901418969380134,0.8772802653399668,0.71875,0.995210355987055,0.004789644012944984,0.12271973466003316,529,74,15376,207,0.5,603,736,all_test,16186,240,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}"
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,threshold_0_50,0.944093390974254,0.8827755570767885,0.871031746031746,0.9242105263157895,0.8236397748592871,0.9947552447552448,0.005244755244755245,0.07578947368421053,439,36,6828,94,0.5,475,533,mobile_app,7397,240,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}"
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,threshold_0_50,0.7708171969720441,0.48510567807950145,0.5438066465256798,0.703125,0.4433497536945813,0.995574190542744,0.004425809457255998,0.296875,90,38,8548,113,0.5,128,203,non_mobile_app,8789,240,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}"
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,recall_90,0.8960309378077951,0.7775976757583862,0.15325936199722606,0.0837544214249621,0.9008152173913043,0.5305501618122977,0.46944983818770225,0.9162455785750379,663,7253,8197,73,0.0016769593186461175,7916,736,all_test,16186,240,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}"
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,recall_90,0.944093390974254,0.8827755570767885,0.22714062150681869,0.12893401015228426,0.9530956848030019,0.5,0.5,0.8710659898477158,508,3432,3432,25,0.0016769593186461175,3940,533,mobile_app,7397,240,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}"
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,recall_90,0.7708171969720441,0.48510567807950145,0.0741804259392199,0.03898390342052314,0.7635467980295566,0.5549732122059166,0.4450267877940834,0.9610160965794768,155,3821,4765,48,0.0016769593186461175,3976,203,non_mobile_app,8789,240,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.1151818098961181}}"
custom_mobile_app_alert_quality,mobile_app_alert_quality,threshold_0_50,0.8949713310820318,0.7751282553741292,0.777292576419214,0.8369905956112853,0.7255434782608695,0.9932686084142395,0.006731391585760518,0.16300940438871472,534,104,15346,202,0.5,638,736,all_test,16186,159,"{""valid"": {""mobile_app_alert_quality"": 0.7350060818191636}}"
custom_mobile_app_alert_quality,mobile_app_alert_quality,threshold_0_50,0.9435103670563332,0.8815178538715374,0.8604878048780488,0.8963414634146342,0.8273921200750469,0.9925699300699301,0.00743006993006993,0.10365853658536585,441,51,6813,92,0.5,492,533,mobile_app,7397,159,"{""valid"": {""mobile_app_alert_quality"": 0.7350060818191636}}"
custom_mobile_app_alert_quality,mobile_app_alert_quality,threshold_0_50,0.7683598801577548,0.4818226665330625,0.5329512893982808,0.636986301369863,0.458128078817734,0.9938271604938271,0.006172839506172839,0.363013698630137,93,53,8533,110,0.5,146,203,non_mobile_app,8789,159,"{""valid"": {""mobile_app_alert_quality"": 0.7350060818191636}}"
custom_mobile_app_alert_quality,mobile_app_alert_quality,recall_90,0.8949713310820318,0.7751282553741292,0.15572519083969466,0.08522946394138065,0.9008152173913043,0.5394174757281553,0.46058252427184465,0.9147705360586194,663,7116,8334,73,0.0052146334345946725,7779,736,all_test,16186,159,"{""valid"": {""mobile_app_alert_quality"": 0.7350060818191636}}"
