feature,importance
time_since_last_txn_min,337609.13885498047
client_id,214037.67839050293
de43_card_acceptor_name_location,80934.68914794922
de6_amount_cardholder_billing,60778.46142578125
de41_terminal_id,48236.46235656738
de42_card_acceptor_id,37199.75439453125
de44_additional_response_data,27103.95947265625
amount_ratio_customer_median,19992.007781982422
amount_ratio_customer_mean,8801.130950927734
amount_usd,3588.7669830322266
de39_response_code,2177.653045654297
distance_from_home_km,2123.2110290527344
response_description,1605.3199462890625
amount_zscore_customer,1331.1609497070312
amount_tx_currency,838.6900024414062
de18_merchant_category_code,768.7140197753906
de22_pos_entry_mode,376.6679992675781
customer_amount_median,225.72500610351562
day,0.0
mobile_app_signal_count,0.0
is_night_txn,0.0
month,0.0
is_mobile_app_txn,0.0
dayofweek,0.0
has_digital_channel_signal,0.0
