model_name,custom_metric_key,threshold_name,auc_roc,auc_pr,f1,precision,recall,specificity,false_positive_rate,false_positive_ratio,true_positives,false_positives,true_negatives,false_negatives,threshold,predicted_positives,actual_positives,segment,rows,best_iteration,best_score,is_selected_model
baseline,traditional_metrics,recall_90,0.8922022301955819,0.6445434098419518,0.16470003726245186,0.09063568010936432,0.9008152173913043,0.5694498381877022,0.4305501618122977,0.9093643198906357,663,6652,8798,73,0.04247158265844502,7315,736,all_test,16186,,,True
custom_mobile_app_alert_quality,mobile_app_alert_quality,recall_90,0.8957721260728859,0.7771574463743276,0.15311778290993072,0.0836698637051994,0.9008152173913043,0.5300323624595469,0.46996763754045306,0.9163301362948006,663,7261,8189,73,0.004165976997355261,7924,736,all_test,16186,149.0,"{""valid"": {""mobile_app_alert_quality"": 0.7475954246639116}}",False
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,recall_90,0.8974198853243281,0.7813684730262861,0.15164684354986277,0.08279220779220779,0.9008152173913043,0.5245954692556635,0.4754045307443366,0.9172077922077922,663,7345,8105,73,0.0013160458553964922,8008,736,all_test,16186,236.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.10297719211563194}}",False
final_tuned_custom,mobile_app_alert_quality,recall_90,0.8914457577036724,0.77636613744439,0.14000633512828634,0.07590154550658271,0.9008152173913043,0.47754045307443366,0.5224595469255664,0.9240984544934173,663,8072,7378,73,0.007940977894293655,8735,736,all_test,16186,,,False
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,recall_90,0.8687759867032503,0.6563756695606562,0.0869873537406926,0.04547139503274435,1.0,0.0,1.0,0.9545286049672557,736,15450,0,0,0.04774439901855768,16186,736,all_test,16186,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,threshold_0_50,0.8687759867032503,0.6563756695606562,0.0,0.0,0.0,1.0,0.0,0.0,0,0,15450,736,0.5,0,736,all_test,16186,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
baseline,traditional_metrics,threshold_0_50,0.8922022301955819,0.6445434098419518,0.0,0.0,0.0,1.0,0.0,0.0,0,0,15450,736,0.5,0,736,all_test,16186,,,True
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,threshold_0_50,0.8974198853243281,0.7813684730262861,0.8021228203184231,0.9073756432246999,0.71875,0.996504854368932,0.003495145631067961,0.09262435677530018,529,54,15396,207,0.5,583,736,all_test,16186,236.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.10297719211563194}}",False
custom_mobile_app_alert_quality,mobile_app_alert_quality,threshold_0_50,0.8957721260728859,0.7771574463743276,0.7951807228915663,0.8918918918918919,0.717391304347826,0.9958576051779935,0.004142394822006472,0.10810810810810811,528,64,15386,208,0.5,592,736,all_test,16186,149.0,"{""valid"": {""mobile_app_alert_quality"": 0.7475954246639116}}",False
final_tuned_custom,mobile_app_alert_quality,threshold_0_50,0.8914457577036724,0.77636613744439,0.7781818181818182,0.837245696400626,0.7269021739130435,0.9932686084142395,0.006731391585760518,0.162754303599374,535,104,15346,201,0.5,639,736,all_test,16186,,,False
baseline,traditional_metrics,recall_90,0.9402344450421374,0.7709929620540877,0.24932515337423314,0.14342179559570864,0.9530956848030019,0.557983682983683,0.442016317016317,0.8565782044042913,508,3034,3830,25,0.04247158265844502,3542,533,mobile_app,7397,,,True
custom_mobile_app_alert_quality,mobile_app_alert_quality,recall_90,0.943586627568804,0.8819132778399659,0.22582796176928208,0.1280887544125063,0.9530956848030019,0.4962121212121212,0.5037878787878788,0.8719112455874937,508,3458,3406,25,0.004165976997355261,3966,533,mobile_app,7397,149.0,"{""valid"": {""mobile_app_alert_quality"": 0.7475954246639116}}",False
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,recall_90,0.9447638821466213,0.8851555659481033,0.22383465259454705,0.12677459526774595,0.9549718574108818,0.48921911421911424,0.5107808857808858,0.8732254047322541,509,3506,3358,24,0.0013160458553964922,4015,533,mobile_app,7397,236.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.10297719211563194}}",False
final_tuned_custom,mobile_app_alert_quality,recall_90,0.9404954801296265,0.8781195852471929,0.20968074150360452,0.11776955113373438,0.9549718574108818,0.444493006993007,0.555506993006993,0.8822304488662657,509,3813,3051,24,0.007940977894293655,4322,533,mobile_app,7397,,,False
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,recall_90,0.9205299859615057,0.8014987056796622,0.13442622950819672,0.07205623901581722,1.0,0.0,1.0,0.9279437609841827,533,6864,0,0,0.04774439901855768,7397,533,mobile_app,7397,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,threshold_0_50,0.9205299859615057,0.8014987056796622,0.0,0.0,0.0,1.0,0.0,0.0,0,0,6864,533,0.5,0,533,mobile_app,7397,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
baseline,traditional_metrics,threshold_0_50,0.9402344450421374,0.7709929620540877,0.0,0.0,0.0,1.0,0.0,0.0,0,0,6864,533,0.5,0,533,mobile_app,7397,,,True
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,threshold_0_50,0.9447638821466213,0.8851555659481033,0.8753738783649053,0.9340425531914893,0.8236397748592871,0.995483682983683,0.004516317016317016,0.06595744680851064,439,31,6833,94,0.5,470,533,mobile_app,7397,236.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.10297719211563194}}",False
custom_mobile_app_alert_quality,mobile_app_alert_quality,threshold_0_50,0.943586627568804,0.8819132778399659,0.8667992047713717,0.9217758985200846,0.8180112570356473,0.9946095571095571,0.00539044289044289,0.07822410147991543,436,37,6827,97,0.5,473,533,mobile_app,7397,149.0,"{""valid"": {""mobile_app_alert_quality"": 0.7475954246639116}}",False
final_tuned_custom,mobile_app_alert_quality,threshold_0_50,0.9404954801296265,0.8781195852471929,0.851063829787234,0.8782435129740519,0.8255159474671669,0.9911130536130536,0.008886946386946386,0.1217564870259481,440,61,6803,93,0.5,501,533,mobile_app,7397,,,False
baseline,traditional_metrics,recall_90,0.7654300906849161,0.327548889977266,0.07796780684104627,0.041081367611979856,0.7635467980295566,0.5786163522012578,0.42138364779874216,0.9589186323880201,155,3618,4968,48,0.04247158265844502,3773,203,non_mobile_app,8789,,,True
custom_mobile_app_alert_quality,mobile_app_alert_quality,recall_90,0.7710621827949957,0.48661652601962424,0.07450132179764479,0.03916119252147549,0.7635467980295566,0.5570696482646168,0.4429303517353832,0.9608388074785245,155,3803,4783,48,0.004165976997355261,3958,203,non_mobile_app,8789,149.0,"{""valid"": {""mobile_app_alert_quality"": 0.7475954246639116}}",False
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,recall_90,0.7743043722223943,0.4922890387246056,0.07340324118207817,0.03856749311294766,0.7586206896551724,0.5528767761472164,0.4471232238527836,0.9614325068870524,154,3839,4747,49,0.0013160458553964922,3993,203,non_mobile_app,8789,236.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.10297719211563194}}",False
final_tuned_custom,mobile_app_alert_quality,recall_90,0.7631807536383549,0.4952498200005204,0.06672443674176777,0.03489689553591661,0.7586206896551724,0.5039599347775449,0.49604006522245514,0.9651031044640834,154,4259,4327,49,0.007940977894293655,4413,203,non_mobile_app,8789,,,False
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,recall_90,0.7329990166142845,0.3021208795444964,0.045151245551601424,0.023097053134600067,1.0,0.0,1.0,0.9769029468653999,203,8586,0,0,0.04774439901855768,8789,203,non_mobile_app,8789,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
baseline,traditional_metrics,threshold_0_50,0.7654300906849161,0.327548889977266,0.0,0.0,0.0,1.0,0.0,0.0,0,0,8586,203,0.5,0,203,non_mobile_app,8789,,,True
custom_mobile_app_false_positive_ratio,mobile_app_false_positive_ratio,threshold_0_50,0.7329990166142845,0.3021208795444964,0.0,0.0,0.0,1.0,0.0,0.0,0,0,8586,203,0.5,0,203,non_mobile_app,8789,1.0,"{""valid"": {""mobile_app_false_positive_ratio"": 0.0}}",False
custom_mobile_app_recall_constrained_fp_ratio,mobile_app_recall_constrained_fp_ratio,threshold_0_50,0.7743043722223943,0.4922890387246056,0.569620253164557,0.7964601769911505,0.4433497536945813,0.9973212205916608,0.002678779408339157,0.20353982300884957,90,23,8563,113,0.5,113,203,non_mobile_app,8789,236.0,"{""valid"": {""mobile_app_recall_constrained_fp_ratio"": 0.10297719211563194}}",False
custom_mobile_app_alert_quality,mobile_app_alert_quality,threshold_0_50,0.7710621827949957,0.48661652601962424,0.5714285714285714,0.773109243697479,0.45320197044334976,0.9968553459119497,0.0031446540880503146,0.226890756302521,92,27,8559,111,0.5,119,203,non_mobile_app,8789,149.0,"{""valid"": {""mobile_app_alert_quality"": 0.7475954246639116}}",False
final_tuned_custom,mobile_app_alert_quality,threshold_0_50,0.7631807536383549,0.4952498200005204,0.5571847507331378,0.6884057971014492,0.46798029556650245,0.9949918471931051,0.005008152806894945,0.3115942028985507,95,43,8543,108,0.5,138,203,non_mobile_app,8789,,,False
