semantic_group,primary_column,candidate_columns
transaction_id,transaction_id,de11_stan | de37_retrieval_reference_number | distance_from_home_km | transaction_id
date,de7_transmission_datetime,de13_local_date | de14_expiration_date | de15_settlement_date | de50_currency_code_settlement | de7_transmission_datetime
amount,amount_usd,amount_local | amount_tx_currency | amount_usd | client_baseline_amount | de41_terminal_id | de42_card_acceptor_id | de43_card_acceptor_name_location | de44_additional_response_data | de48_additional_data | de49_currency_code_transaction | de4_amount_transaction | de54_additional_amounts | de60_pos_terminal_type | de61_pos_extended_data | de63_network_specific | de6_amount_cardholder_billing
customer,client_id,client_baseline_amount | client_home_city | client_id | client_segment | de102_account_id_1 | de103_account_id_2 | de6_amount_cardholder_billing
card,pan_hash,card_brand | de22_pos_entry_mode | de23_card_seq_number | de25_pos_condition_code | de2_pan | de42_card_acceptor_id | de43_card_acceptor_name_location | de6_amount_cardholder_billing | pan_hash | pan_masked
merchant,de42_card_acceptor_id,de18_merchant_category_code | de42_card_acceptor_id | de43_card_acceptor_name_location
mcc,de18_merchant_category_code,de18_merchant_category_code
country,bank_country,bank_country | de19_acquirer_country_code
currency,currency_tx_alpha,amount_tx_currency | currency_tx_alpha | de49_currency_code_transaction | de50_currency_code_settlement | de51_currency_code_billing
channel,channel,channel | de60_pos_terminal_type
pos_entry_mode,de22_pos_entry_mode,de123_pos_data_code | de22_pos_entry_mode
device,de41_terminal_id,de41_terminal_id | de60_pos_terminal_type
distance,distance_from_home_km,distance_from_home_km
hour,hour_local,de123_pos_data_code | de12_local_time | hour_local
approved_response,approved,approved | de39_response_code | de44_additional_response_data | response_description
baseline_amount,client_baseline_amount,client_baseline_amount
