feature_name,feature_type,dtype,missing_rate,cardinality
amount_local,numeric,float64,0.0,138951
amount_numeric,numeric,float64,0.0,66393
amount_to_baseline_ratio,numeric,float64,0.0,199906
amount_usd,numeric,float64,0.0,66393
approved,numeric,bool,0.0,2
approved_response_proxy,numeric,int32,0.0,2
business_hour_transaction_flag,numeric,int32,0.0,2
card_amount_to_mean_ratio,numeric,float64,0.0,199937
card_brand,categorical,object,0.010259846102308465,3
card_mean_amount,numeric,float64,0.0,7998
card_total_amount,numeric,float64,0.0,7979
card_transaction_count,numeric,int64,0.0,38
card_unique_merchant_count,numeric,int64,0.0,38
channel,categorical,object,0.0,4
client_baseline_amount,numeric,float64,0.0,7796
client_segment,categorical,object,0.01043484347734784,9
contactless_proxy,numeric,int32,0.0,1
customer_amount_to_mean_ratio,numeric,float64,0.0,199937
customer_mean_amount,numeric,float64,0.0,7998
customer_total_amount,numeric,float64,0.0,7979
customer_transaction_count,numeric,int64,0.0,38
customer_unique_merchant_count,numeric,int64,0.0,38
day,numeric,int32,0.0,1
day_of_week,categorical,object,0.01014484782728259,8
de100_receiving_institution_id,numeric,float64,0.010299845502317466,3
de123_pos_data_code,categorical,object,0.009714854277185842,9
de18_merchant_category_code,numeric,int64,0.0,26
de22_pos_entry_mode,numeric,int64,0.0,7
de23_card_seq_number,numeric,float64,0.010219846702299466,4
de25_pos_condition_code,numeric,int64,0.0,4
de32_acquiring_institution_id,numeric,int64,0.0,2
de39_response_code,numeric,int64,0.0,12
de3_processing_code,numeric,int64,0.0,5
de4_amount_transaction,numeric,int64,0.0,132434
de52_pin_data_present,categorical,object,0.0,2
de55_emv_data_present,categorical,object,0.0,2
de58_authorizing_agent_id,numeric,float64,0.009999850002249967,3
de60_pos_terminal_type,categorical,object,0.0,4
de61_pos_extended_data,numeric,float64,0.009904851427228592,5
de63_network_specific,categorical,object,0.01032484512732309,3
de6_amount_cardholder_billing,numeric,int64,0.0,138951
de9_conversion_rate_billing,numeric,float64,0.01006484902726459,18409
ecommerce_channel_proxy,numeric,int32,0.0,2
hour,numeric,int64,0.0,24
hour_local,numeric,int64,0.0,24
international_flag,numeric,int32,0.0,2
is_international,numeric,bool,0.0,2
log_amount,numeric,float64,0.0,66393
manual_or_ecommerce_entry_proxy,numeric,int32,0.0,2
merchant_amount_to_mean_ratio,numeric,float64,0.009984850227246591,197377
merchant_mean_amount,numeric,float64,0.009984850227246591,1001
merchant_total_amount,numeric,float64,0.009984850227246591,1001
merchant_transaction_count,numeric,float64,0.009984850227246591,77
month,numeric,int32,0.0,1
mti,numeric,int64,0.0,1
night_transaction_flag,numeric,int32,0.0,2
response_description,categorical,object,0.010229846552301716,13
weekday,numeric,int32,0.0,1
