threshold,accuracy,precision,recall,f1,roc_auc,average_precision,true_negatives,false_positives,false_negatives,true_positives,false_positive_ratio,false_negative_ratio,strategy_name,split_name,threshold_type
0.8,0.9767004659906802,0.7902144772117963,0.5805022156573116,0.6693159239284701,0.8764423788994168,0.6810027856254487,47657,313,852,1179,0.20978552278820375,0.4194977843426883,baseline_centralized_model,central_valid,best_f1
0.1,0.08423831523369532,0.04208874005860193,0.9901526341703595,0.08074521691995744,0.8764423788994168,0.6810027856254487,2201,45769,20,2011,0.957911259941398,0.009847365829640572,baseline_centralized_model,central_valid,recall_priority
0.45,0.9453410931781364,0.3965822038892163,0.6627277203348104,0.49622119815668203,0.8639723230925449,0.5270159596524177,45922,2048,685,1346,0.6034177961107837,0.3372722796651896,federated_equal_weight_model,central_valid,best_f1
0.1,0.061318773624527506,0.041234164282795256,0.9935992122107337,0.07918228012006827,0.8639723230925449,0.5270159596524177,1048,46922,13,2018,0.9587658357172048,0.006400787789266372,federated_equal_weight_model,central_valid,recall_priority
0.45,0.9450810983780324,0.3971223021582734,0.6794682422451994,0.5012713403559753,0.86475902436561,0.5329324072078139,45875,2095,651,1380,0.6028776978417266,0.3205317577548006,federated_performance_weighted_model,central_valid,best_f1
0.1,0.0623987520249595,0.041260944276245805,0.9931068439192516,0.07923008936462732,0.86475902436561,0.5329324072078139,1103,46867,14,2017,0.9587390557237542,0.006893156080748399,federated_performance_weighted_model,central_valid,recall_priority
0.9,0.9734605307893842,0.8295880149812734,0.4362383062530773,0.5717973539851565,0.8633654281094566,0.5844048156355166,47788,182,1145,886,0.1704119850187266,0.5637616937469226,central_logistic_baseline,central_valid,best_f1
0.1,0.0759984800303994,0.04180497925311203,0.9921221073362876,0.08022934044713424,0.8633654281094566,0.5844048156355166,1785,46185,16,2015,0.958195020746888,0.007877892663712457,central_logistic_baseline,central_valid,recall_priority
0.85,0.9863602727945441,0.963573883161512,0.690300344657804,0.8043602983362019,0.8814342410174092,0.758920637285756,47917,53,629,1402,0.036426116838487975,0.30969965534219596,central_hist_gradient_boosting_model,central_valid,best_f1
0.1,0.06931861362772744,0.04163061838256499,0.9950763170851797,0.07991774917452597,0.8814342410174092,0.758920637285756,1445,46525,10,2021,0.958369381617435,0.004923682914820286,central_hist_gradient_boosting_model,central_valid,recall_priority
