threshold,accuracy,precision,recall,f1,roc_auc,average_precision,true_negatives,false_positives,false_negatives,true_positives,false_positive_ratio,false_negative_ratio,strategy_name,split_name
0.1,0.07743690252389904,0.05029451744449479,0.9926829268292683,0.09573842474614812,0.8810314063764927,0.6545610927413416,715,23056,9,1221,0.9497054825555052,0.007317073170731708,baseline_centralized_model,bank_1_valid
0.15,0.23303067877284908,0.05798315187940293,0.9569105691056911,0.10934088903339681,0.8810314063764927,0.6545610927413416,4649,19122,53,1177,0.942016848120597,0.043089430894308944,baseline_centralized_model,bank_1_valid
0.2,0.4436222551097956,0.07563587684069611,0.9186991869918699,0.13976499690785404,0.8810314063764927,0.6545610927413416,9961,13810,100,1130,0.9243641231593038,0.08130081300813008,baseline_centralized_model,bank_1_valid
0.25,0.5685772569097236,0.09370748299319728,0.8959349593495934,0.16966897613548884,0.8810314063764927,0.6545610927413416,13113,10658,128,1102,0.9062925170068027,0.1040650406504065,baseline_centralized_model,bank_1_valid
0.3,0.655733770649174,0.11210432222105374,0.8666666666666667,0.19852872706955954,0.8810314063764927,0.6545610927413416,15328,8443,164,1066,0.8878956777789463,0.13333333333333333,baseline_centralized_model,bank_1_valid
0.35,0.7280508779648814,0.13634582734752515,0.848780487804878,0.23494992685945765,0.8810314063764927,0.6545610927413416,17158,6613,186,1044,0.8636541726524749,0.15121951219512195,baseline_centralized_model,bank_1_valid
0.4,0.7865685372585096,0.16617886178861788,0.8308943089430895,0.27696476964769645,0.8810314063764927,0.6545610927413416,18643,5128,208,1022,0.8338211382113822,0.16910569105691056,baseline_centralized_model,bank_1_valid
0.45,0.8328466861325547,0.201578627808136,0.8097560975609757,0.32280019445794844,0.8810314063764927,0.6545610927413416,19826,3945,234,996,0.798421372191864,0.1902439024390244,baseline_centralized_model,bank_1_valid
0.5,0.8702851885924563,0.24486692015209124,0.7853658536585366,0.37333333333333335,0.8810314063764927,0.6545610927413416,20792,2979,264,966,0.7551330798479088,0.2146341463414634,baseline_centralized_model,bank_1_valid
0.55,0.8992440302387904,0.2946798343421472,0.7520325203252033,0.4234378576333257,0.8810314063764927,0.6545610927413416,21557,2214,305,925,0.7053201656578528,0.24796747967479674,baseline_centralized_model,bank_1_valid
0.6,0.9209631614735411,0.35115722266560256,0.7154471544715447,0.47109207708779444,0.8810314063764927,0.6545610927413416,22145,1626,350,880,0.6488427773343974,0.2845528455284553,baseline_centralized_model,bank_1_valid
0.65,0.9394024239030438,0.4273329933707292,0.6813008130081301,0.5252272015042306,0.8810314063764927,0.6545610927413416,22648,1123,392,838,0.5726670066292707,0.31869918699186994,baseline_centralized_model,bank_1_valid
0.7,0.953521859125635,0.5225464190981433,0.640650406504065,0.5756026296566837,0.8810314063764927,0.6545610927413416,23051,720,442,788,0.47745358090185674,0.359349593495935,baseline_centralized_model,bank_1_valid
0.75,0.9637214511419543,0.6458897922312556,0.5813008130081301,0.6118955926401369,0.8810314063764927,0.6545610927413416,23379,392,515,715,0.35411020776874436,0.4186991869918699,baseline_centralized_model,bank_1_valid
0.8,0.968961241550338,0.774818401937046,0.5203252032520326,0.622568093385214,0.8810314063764927,0.6545610927413416,23585,186,590,640,0.22518159806295399,0.4796747967479675,baseline_centralized_model,bank_1_valid
0.85,0.9697612095516179,0.8976510067114094,0.4349593495934959,0.5859802847754655,0.8810314063764927,0.6545610927413416,23710,61,695,535,0.10234899328859061,0.5650406504065041,baseline_centralized_model,bank_1_valid
0.9,0.9682012719491221,0.9617834394904459,0.36829268292682926,0.5326278659611993,0.8810314063764927,0.6545610927413416,23753,18,777,453,0.03821656050955414,0.6317073170731707,baseline_centralized_model,bank_1_valid
0.1,0.0646,0.03265458157437298,0.9850187265917603,0.0632135560629732,0.8579944105778352,0.7182941979569561,826,23373,12,789,0.967345418425627,0.0149812734082397,baseline_centralized_model,bank_2_valid
0.15,0.37308,0.04413928396272683,0.898876404494382,0.08414655525039444,0.8579944105778352,0.7182941979569561,8607,15592,81,720,0.9558607160372732,0.10112359550561797,baseline_centralized_model,bank_2_valid
0.2,0.80968,0.1187126613991135,0.7690387016229713,0.20567612687813022,0.8579944105778352,0.7182941979569561,19626,4573,185,616,0.8812873386008865,0.23096129837702872,baseline_centralized_model,bank_2_valid
0.25,0.94052,0.3143939393939394,0.7253433208489388,0.4386560966402416,0.8579944105778352,0.7182941979569561,22932,1267,220,581,0.6856060606060606,0.2746566791510612,baseline_centralized_model,bank_2_valid
0.3,0.96632,0.4829024186822352,0.7228464419475655,0.579,0.8579944105778352,0.7182941979569561,23579,620,222,579,0.5170975813177648,0.27715355805243447,baseline_centralized_model,bank_2_valid
0.35,0.97248,0.5544840887174542,0.717852684144819,0.6256800870511425,0.8579944105778352,0.7182941979569561,23737,462,226,575,0.4455159112825458,0.28214731585518105,baseline_centralized_model,bank_2_valid
0.4,0.97548,0.5977130977130977,0.717852684144819,0.6522972206466251,0.8579944105778352,0.7182941979569561,23812,387,226,575,0.4022869022869023,0.28214731585518105,baseline_centralized_model,bank_2_valid
0.45,0.97748,0.6304824561403509,0.717852684144819,0.6713368359603036,0.8579944105778352,0.7182941979569561,23862,337,226,575,0.36951754385964913,0.28214731585518105,baseline_centralized_model,bank_2_valid
0.5,0.97872,0.6526674233825198,0.717852684144819,0.6837098692033293,0.8579944105778352,0.7182941979569561,23893,306,226,575,0.3473325766174801,0.28214731585518105,baseline_centralized_model,bank_2_valid
